,reg,vaccin,jour,n_dose1,n_dose2,n_cum_dose1,n_cum_dose2,datetime,timestamp
0,1,1,2020-12-27,0,0,0,0,2020-12-27,1609023600.0
1,1,1,2020-12-28,0,0,0,0,2020-12-28,1609110000.0
2,1,1,2020-12-29,0,0,0,0,2020-12-29,1609196400.0
3,1,1,2020-12-30,0,0,0,0,2020-12-30,1609282800.0
4,1,1,2020-12-31,0,0,0,0,2020-12-31,1609369200.0
5,1,1,2021-01-01,1,0,1,0,2021-01-01,1609455600.0
6,1,1,2021-01-02,0,0,1,0,2021-01-02,1609542000.0
7,1,1,2021-01-03,0,0,1,0,2021-01-03,1609628400.0
8,1,1,2021-01-04,1,0,2,0,2021-01-04,1609714800.0
9,1,1,2021-01-05,0,0,2,0,2021-01-05,1609801200.0
10,1,1,2021-01-06,1,0,3,0,2021-01-06,1609887600.0
11,1,1,2021-01-07,0,0,3,0,2021-01-07,1609974000.0
12,1,1,2021-01-08,49,0,52,0,2021-01-08,1610060400.0
13,1,1,2021-01-09,18,0,70,0,2021-01-09,1610146800.0
14,1,1,2021-01-10,0,0,70,0,2021-01-10,1610233200.0
15,1,1,2021-01-11,55,0,125,0,2021-01-11,1610319600.0
16,1,1,2021-01-12,44,0,169,0,2021-01-12,1610406000.0
17,1,1,2021-01-13,45,0,214,0,2021-01-13,1610492400.0
18,1,1,2021-01-14,61,0,275,0,2021-01-14,1610578800.0
19,1,1,2021-01-15,76,0,351,0,2021-01-15,1610665200.0
20,1,1,2021-01-16,0,0,351,0,2021-01-16,1610751600.0
21,1,1,2021-01-17,0,0,351,0,2021-01-17,1610838000.0
22,1,1,2021-01-18,75,0,426,0,2021-01-18,1610924400.0
23,1,1,2021-01-19,143,0,569,0,2021-01-19,1611010800.0
24,1,1,2021-01-20,134,0,703,0,2021-01-20,1611097200.0
25,1,1,2021-01-21,150,0,853,0,2021-01-21,1611183600.0
26,1,1,2021-01-22,132,0,985,0,2021-01-22,1611270000.0
27,1,1,2021-01-23,1,0,986,0,2021-01-23,1611356400.0
28,1,1,2021-01-24,0,0,986,0,2021-01-24,1611442800.0
29,1,1,2021-01-25,203,0,1189,0,2021-01-25,1611529200.0
30,1,1,2021-01-26,211,0,1400,0,2021-01-26,1611615600.0
31,1,1,2021-01-27,234,0,1634,0,2021-01-27,1611702000.0
32,1,1,2021-01-28,238,2,1872,2,2021-01-28,1611788400.0
33,1,1,2021-01-29,197,0,2069,2,2021-01-29,1611874800.0
34,1,1,2021-01-30,17,0,2086,2,2021-01-30,1611961200.0
35,1,1,2021-01-31,1,0,2087,2,2021-01-31,1612047600.0
36,1,1,2021-02-01,222,3,2309,5,2021-02-01,1612134000.0
37,1,1,2021-02-02,242,24,2551,29,2021-02-02,1612220400.0
38,1,1,2021-02-03,213,1,2764,30,2021-02-03,1612306800.0
39,1,1,2021-02-04,300,19,3064,49,2021-02-04,1612393200.0
40,1,1,2021-02-05,253,32,3317,81,2021-02-05,1612479600.0
41,1,1,2021-02-06,49,1,3366,82,2021-02-06,1612566000.0
42,1,1,2021-02-07,0,0,3366,82,2021-02-07,1612652400.0
43,1,1,2021-02-08,223,20,3589,102,2021-02-08,1612738800.0
44,1,1,2021-02-09,291,27,3880,129,2021-02-09,1612825200.0
45,1,1,2021-02-10,221,28,4101,157,2021-02-10,1612911600.0
46,1,1,2021-02-11,293,108,4394,265,2021-02-11,1612998000.0
47,1,1,2021-02-12,283,23,4677,288,2021-02-12,1613084400.0
48,1,1,2021-02-13,49,7,4726,295,2021-02-13,1613170800.0
49,1,1,2021-02-14,19,36,4745,331,2021-02-14,1613257200.0
50,1,1,2021-02-15,72,43,4817,374,2021-02-15,1613343600.0
51,1,1,2021-02-16,16,0,4833,374,2021-02-16,1613430000.0
52,1,1,2021-02-17,17,0,4850,374,2021-02-17,1613516400.0
53,1,1,2021-02-18,220,16,5070,390,2021-02-18,1613602800.0
54,1,1,2021-02-19,230,19,5300,409,2021-02-19,1613689200.0
55,1,1,2021-02-20,47,0,5347,409,2021-02-20,1613775600.0
56,1,1,2021-02-21,1,0,5348,409,2021-02-21,1613862000.0
57,1,1,2021-02-22,156,54,5504,463,2021-02-22,1613948400.0
58,1,1,2021-02-23,189,70,5693,533,2021-02-23,1614034800.0
59,1,1,2021-02-24,316,119,6009,652,2021-02-24,1614121200.0
60,1,1,2021-02-25,369,75,6378,727,2021-02-25,1614207600.0
61,1,1,2021-02-26,210,81,6588,808,2021-02-26,1614294000.0
62,1,1,2021-02-27,63,0,6651,808,2021-02-27,1614380400.0
63,1,1,2021-02-28,1,0,6652,808,2021-02-28,1614466800.0
64,1,1,2021-03-01,136,80,6788,888,2021-03-01,1614553200.0
65,1,1,2021-03-02,241,127,7029,1015,2021-03-02,1614639600.0
66,1,1,2021-03-03,211,118,7240,1133,2021-03-03,1614726000.0
67,1,1,2021-03-04,305,80,7545,1213,2021-03-04,1614812400.0
68,1,1,2021-03-05,308,141,7853,1354,2021-03-05,1614898800.0
69,1,1,2021-03-06,90,1,7943,1355,2021-03-06,1614985200.0
70,1,1,2021-03-07,1,0,7944,1355,2021-03-07,1615071600.0
71,1,1,2021-03-08,277,130,8221,1485,2021-03-08,1615158000.0
72,1,1,2021-03-09,348,149,8569,1634,2021-03-09,1615244400.0
73,1,1,2021-03-10,322,153,8891,1787,2021-03-10,1615330800.0
74,1,1,2021-03-11,84,43,8975,1830,2021-03-11,1615417200.0
75,1,1,2021-03-12,372,204,9347,2034,2021-03-12,1615503600.0
76,1,1,2021-03-13,119,1,9466,2035,2021-03-13,1615590000.0
77,1,1,2021-03-14,0,23,9466,2058,2021-03-14,1615676400.0
78,1,1,2021-03-15,409,37,9875,2095,2021-03-15,1615762800.0
79,1,1,2021-03-16,450,73,10325,2168,2021-03-16,1615849200.0
80,1,1,2021-03-17,423,78,10748,2246,2021-03-17,1615935600.0
81,1,1,2021-03-18,540,99,11288,2345,2021-03-18,1616022000.0
82,1,1,2021-03-19,529,92,11817,2437,2021-03-19,1616108400.0
83,1,1,2021-03-20,173,43,11990,2480,2021-03-20,1616194800.0
84,1,1,2021-03-21,0,0,11990,2480,2021-03-21,1616281200.0
85,1,1,2021-03-22,325,79,12315,2559,2021-03-22,1616367600.0
86,1,1,2021-03-23,442,150,12757,2709,2021-03-23,1616454000.0
87,1,1,2021-03-24,417,103,13174,2812,2021-03-24,1616540400.0
88,1,1,2021-03-25,534,170,13708,2982,2021-03-25,1616626800.0
89,1,1,2021-03-26,516,116,14224,3098,2021-03-26,1616713200.0
90,1,1,2021-03-27,198,42,14422,3140,2021-03-27,1616799600.0
91,1,1,2021-03-28,0,0,14422,3140,2021-03-28,1616886000.0
92,1,1,2021-03-29,326,78,14748,3218,2021-03-29,1616972400.0
93,1,1,2021-03-30,429,154,15177,3372,2021-03-30,1617058800.0
94,1,1,2021-03-31,453,118,15630,3490,2021-03-31,1617145200.0
95,1,1,2021-04-01,466,191,16096,3681,2021-04-01,1617231600.0
96,1,1,2021-04-02,23,35,16119,3716,2021-04-02,1617318000.0
